City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Nanning,22.8167,108.3167,55.85,93,100,4.7,CN,1675718605
225,Zambezi,-13.5432,23.1047,65.08,96,100,4.21,ZM,1675718606
226,Mehamn,71.0357,27.8492,39.15,81,75,31.07,NO,1675718606
227,Tasiilaq,65.6145,-37.6368,14.16,91,99,3.85,GL,1675718606
228,Carangola,-20.7331,-42.0294,77.83,86,100,1.61,BR,1675718607
229,Guerrero Negro,27.9769,-114.0611,62.73,54,98,20.04,MX,1675718607
230,Washington,47.5001,-120.5015,46.92,59,100,5.82,US,1675718520
231,Nemuro,43.3236,145.575,24.6,94,100,10.07,JP,1675718607
232,Torrington,41.8007,-73.1212,45.12,68,84,8.99,US,1675718608
233,San Patricio,28.017,-97.5169,80.69,56,13,20.51,US,1675718608
234,Bose,45.4612,8.0137,37.29,83,100,6.93,IT,1675718608
235,Cooma,-36.2333,149.1333,59.63,84,100,1.68,AU,1675718609
236,Talara,-4.5772,-81.2719,86.76,54,0,13.8,PE,1675718525
237,Genhe,50.7833,121.5167,-28.97,100,93,0.94,CN,1675718609
238,Itamaraca,-7.7478,-34.8256,78.85,72,73,9.91,BR,1675718610
239,Solhan,38.9634,41.0293,31.91,98,100,6.4,TR,1675718610
240,Quatre Cocos,-20.2078,57.7625,78.91,80,77,14.47,MU,1675718610
241,Bac Lieu,9.285,105.7244,75.31,89,96,8.84,VN,1675718611
242,Whitehorse,60.7161,-135.0538,34.02,50,40,10.36,CA,1675718512
243,Huilong,31.8111,121.655,44.92,92,100,9.64,CN,1675718612
244,Komsomolskiy,40.4272,71.7189,34.52,93,61,6.91,UZ,1675718613
245,Sorland,67.667,12.6934,46.26,90,100,42.21,NO,1675718613
246,Nizip,37.0097,37.7942,41.13,87,100,21.41,TR,1675718613
247,Tibati,6.4667,12.6333,75.69,15,2,7.38,CM,1675718614
248,Olafsvik,64.8945,-23.7142,30.94,63,100,40.09,IS,1675718614
249,Mayo,38.8876,-76.5119,50.14,55,100,16.11,US,1675718614
250,Kruisfontein,-34.0033,24.7314,71.89,91,84,1.92,ZA,1675718615
251,Rosarito,32.3333,-117.0333,68.23,52,0,15.84,MX,1675718615
252,Iqaluit,63.7506,-68.5145,-25.87,68,40,10.36,CA,1675718616
253,Dongsheng,39.8161,109.9776,23.38,43,0,7.87,CN,1675718616
254,Siderno,38.2779,16.302,39.34,56,100,6.78,IT,1675718617
255,Constitucion,-35.3333,-72.4167,69.48,64,23,14.92,CL,1675718617
256,Majene,-3.5403,118.9707,77.0,77,99,5.59,ID,1675718617
257,Hami,42.8,93.45,32.65,42,100,2.53,CN,1675718618
258,Porbandar,21.6422,69.6093,68.88,78,25,9.51,IN,1675718618
259,Muros,42.7762,-9.0603,48.83,66,0,9.22,ES,1675718618
260,Tahoua,14.8888,5.2692,80.58,12,98,4.61,NE,1675718620
261,Alice Springs,-23.7,133.8833,65.75,63,40,5.75,AU,1675718380
262,Leningradskiy,69.3833,178.4167,-30.19,98,98,8.1,RU,1675718620
